ratio_routed,tt_non_routed,tt_routed,tt,tt_local,tt_non_local,gas,gas_local,gas_non_local
0.000000000000000000e+00,4.535656308105397017e+01,3.709361559243122741e+01,4.535656308105397017e+01,3.117466848809580782e+01,1.418189459295816235e+01,7.476919930122053302e+02,2.235903081072993928e+02,5.241016849049059374e+02
1.000000000000000021e-02,4.514252481534616379e+01,3.725913984214427188e+01,4.506369096561414267e+01,3.117722346457525262e+01,1.388646750103889005e+01,7.444516387220596698e+02,2.247980551416186472e+02,5.196535835804410226e+02
2.000000000000000042e-02,4.494736434856759644e+01,3.728886914924819251e+01,4.479419444458121546e+01,3.118946364663050730e+01,1.360473079795070817e+01,7.413424962090849704e+02,2.260467535542689177e+02,5.152957426548160811e+02
2.999999999999999889e-02,4.476312795273951650e+01,3.730388731379599676e+01,4.453935073357121155e+01,3.120467001122624495e+01,1.333468072234496660e+01,7.382472604250164068e+02,2.273018481993452724e+02,5.109454122256711344e+02
4.000000000000000083e-02,4.458908685719220699e+01,3.731480685353958648e+01,4.429811565704611098e+01,3.122250688585174316e+01,1.307560877119436782e+01,7.351512217304663181e+02,2.285563921025426168e+02,5.065948296279236729e+02
5.000000000000000278e-02,4.442327275948173337e+01,3.733297981656585307e+01,4.406875811233594220e+01,3.124123725325637579e+01,1.282752085907956641e+01,7.320933572086659069e+02,2.298652714287676702e+02,5.022280857798982652e+02
5.999999999999999778e-02,4.426771636277125310e+01,3.734835349652342273e+01,4.385255459079638030e+01,3.126253239802055361e+01,1.259002219277582668e+01,7.290514621936531512e+02,2.311859817426382619e+02,4.978654804510148892e+02
7.000000000000000666e-02,4.411984206464848057e+01,3.736602288705135066e+01,4.364707472221667217e+01,3.128520440099352484e+01,1.236187032122314733e+01,7.260110736404606087e+02,2.325416100369785113e+02,4.934694636034820974e+02
8.000000000000000167e-02,4.398133390225299166e+01,3.738661132175514012e+01,4.345375609581316922e+01,3.130982868546881548e+01,1.214392741034435375e+01,7.230065764927685450e+02,2.339326687308881390e+02,4.890739077618803776e+02
8.999999999999999667e-02,4.385068227208584091e+01,3.741230479397037101e+01,4.327122829905544421e+01,3.133613984681585052e+01,1.193508845223959369e+01,7.200300678770216791e+02,2.353761449489745701e+02,4.846539229280471091e+02
1.000000000000000056e-01,4.372691150829103179e+01,3.744533849961055694e+01,4.309875420742299212e+01,3.136406765330605140e+01,1.173468655411694073e+01,7.170878770108853359e+02,2.368907304892995001e+02,4.801971465215858643e+02
1.100000000000000006e-01,4.361073675708742314e+01,3.748740605262688774e+01,4.293717037959676475e+01,3.139433832685439540e+01,1.154283205274236934e+01,7.141976057232284347e+02,2.384825618266727929e+02,4.757150438965556418e+02
1.199999999999999956e-01,4.350469090791045090e+01,3.753853870215828437e+01,4.278875264322019234e+01,3.142828258086731807e+01,1.136047006235287427e+01,7.114048529037190747e+02,2.401563463331256685e+02,4.712485065705934062e+02
1.300000000000000044e-01,4.340112770356785887e+01,3.760549783886293085e+01,4.264769582115621205e+01,3.146388017702482642e+01,1.118381564413138562e+01,7.086615756403222122e+02,2.419764618748042437e+02,4.666851137655179400e+02
1.400000000000000133e-01,4.327522498874961343e+01,3.771051644358757216e+01,4.249616579242692893e+01,3.149365977811045170e+01,1.100250601431647723e+01,7.057883593548876888e+02,2.441096104847794095e+02,4.616787488701082793e+02
1.499999999999999944e-01,4.320295581177199296e+01,3.779865682234643032e+01,4.239231096335815607e+01,3.154378226629145132e+01,1.084852869706670475e+01,7.034272791627888637e+02,2.461102372649463064e+02,4.573170418978425573e+02
1.600000000000000033e-01,4.307364892299070647e+01,3.795526833022383784e+01,4.225470802814799498e+01,3.157900984358144925e+01,1.067569818456654573e+01,7.006935189850001962e+02,2.486667127418336918e+02,4.520268062431665044e+02
1.700000000000000122e-01,4.289603960867398769e+01,3.816439343459741451e+01,4.209165975908097579e+01,3.158413703305950193e+01,1.050752272602147386e+01,6.979242833174215548e+02,2.513096798052700933e+02,4.466146035121514615e+02
1.799999999999999933e-01,4.277776661054922158e+01,3.832705203732771793e+01,4.197663798736934382e+01,3.160304436045931809e+01,1.037359362691002573e+01,6.957113017314176204e+02,2.535832153637684883e+02,4.421280863676491322e+02
1.900000000000000022e-01,4.243639218676117508e+01,3.872180529385613568e+01,4.173062067710921497e+01,3.152362386516987058e+01,1.020699681193934438e+01,6.926578766600830477e+02,2.565050804163276439e+02,4.361527962437554038e+02
2.000000000000000111e-01,4.216700285199236475e+01,3.906381820491703394e+01,4.154636592257730854e+01,3.145745942364738923e+01,1.008890649892991931e+01,6.905096468147349924e+02,2.588591928446858219e+02,4.316504539700491705e+02
2.099999999999999922e-01,4.171011814669656559e+01,3.978955580332544884e+01,4.130680005458862780e+01,3.138941918779828555e+01,9.917380866790342253e+00,6.873398594057678110e+02,2.625056145061906818e+02,4.248342448995771292e+02
2.200000000000000011e-01,4.136791202180705795e+01,4.054954822365883160e+01,4.118787198621444645e+01,3.135253561268042333e+01,9.835336373534023124e+00,6.859173398860651787e+02,2.647035247347869813e+02,4.212138151512781974e+02
2.300000000000000100e-01,4.128466934650575837e+01,4.064869094411725570e+01,4.113839431395640389e+01,3.135768353319443236e+01,9.780710780761971535e+00,6.849264837285730891e+02,2.658300264576424183e+02,4.190964572709306708e+02
2.399999999999999911e-01,4.124611160689526201e+01,4.068631748694189554e+01,4.111176101810644212e+01,3.135463397688799958e+01,9.757127041218442542e+00,6.844268355494098159e+02,2.663517800580387984e+02,4.180750554913710175e+02
2.500000000000000000e-01,4.120819193688193138e+01,4.070953639843202865e+01,4.108352805226945748e+01,3.135771969272113324e+01,9.725808359548324233e+00,6.838181504715529400e+02,2.669992565220808842e+02,4.168188939494720557e+02
2.600000000000000089e-01,4.118701450016503429e+01,4.073556906714433978e+01,4.106963868757965486e+01,3.135429591427354978e+01,9.715342773306105073e+00,6.835489048682699149e+02,2.672573097150561807e+02,4.162915951532137342e+02
2.700000000000000178e-01,4.118351813510647474e+01,4.072684700634042088e+01,4.106021693033963516e+01,3.134620570331067313e+01,9.714011227028962026e+00,6.834746785705755201e+02,2.672146393097906980e+02,4.162600392607848221e+02
2.800000000000000266e-01,4.114355946254097773e+01,4.076193819373708038e+01,4.103670550727588306e+01,3.135230742666483295e+01,9.684398080611050119e+00,6.828567297837765864e+02,2.678564894639577574e+02,4.150002403198188290e+02
2.899999999999999800e-01,4.172304621553450943e+01,3.935635411809098372e+01,4.103670550727588306e+01,3.135230742666483295e+01,9.684398080611050119e+00,6.828567297837765864e+02,2.678564894639577574e+02,4.150002403198188290e+02
2.999999999999999889e-01,4.109938803070774327e+01,4.080279547707910837e+01,4.101041026461914640e+01,3.135299560316330414e+01,9.657414661455842264e+00,6.822778506898574733e+02,2.684473958801890490e+02,4.138304548096684243e+02
3.099999999999999978e-01,4.107414644853618313e+01,4.081529889553183921e+01,4.099390370710483467e+01,3.135650705420773932e+01,9.637396652897095350e+00,6.818995580565207320e+02,2.688181060243359752e+02,4.130814520321847567e+02
3.200000000000000067e-01,4.107239945308248252e+01,4.082186943800105183e+01,4.099222984825642158e+01,3.135410499552082086e+01,9.638124852735600712e+00,6.818346769837177135e+02,2.688072037097591647e+02,4.130274732739585488e+02
3.300000000000000155e-01,4.105011300119343076e+01,4.083593268261261500e+01,4.097943349606177321e+01,3.135647769505434468e+01,9.622955801007428533e+00,6.814848090438108557e+02,2.690743487075764619e+02,4.124104603362343937e+02
3.400000000000000244e-01,4.102889929224220822e+01,4.085484644086384520e+01,4.096972132277355882e+01,3.135656314210760698e+01,9.613158180665951846e+00,6.812221266831276125e+02,2.692724575583218893e+02,4.119496691248057232e+02
3.500000000000000333e-01,4.100682141745743792e+01,4.087021819937742606e+01,4.095901029112942382e+01,3.135943412748126491e+01,9.599576163648158911e+00,6.808785070915761253e+02,2.695124554010868110e+02,4.113660516904893143e+02
3.599999999999999867e-01,4.099482971042435508e+01,4.088639414178022946e+01,4.095579290571247100e+01,3.135647646417044498e+01,9.599316441542026013e+00,6.807600754451472085e+02,2.695250721732106172e+02,4.112350032719365913e+02
3.699999999999999956e-01,4.097358768100077242e+01,4.090288082303466410e+01,4.094742614355331511e+01,3.136178845929194736e+01,9.585637684261367752e+00,6.804430066858712962e+02,2.697894021900182793e+02,4.106536044958530169e+02
3.800000000000000044e-01,4.095102983046504619e+01,4.091355527284230931e+01,4.093678949856840887e+01,3.136843279341543322e+01,9.568356705152975650e+00,6.801454135401174881e+02,2.701905445083326072e+02,4.099548690317848809e+02
3.900000000000000133e-01,4.093045229154201792e+01,4.092769303334175390e+01,4.092937618084391715e+01,3.137303237752287544e+01,9.556343803321041719e+00,6.799054399104531967e+02,2.704824658292710637e+02,4.094229740811821330e+02
4.000000000000000222e-01,4.094688473801930684e+01,4.091999187082642209e+01,4.093612759114215294e+01,3.136859202400748003e+01,9.567535567134672903e+00,6.801590345959267552e+02,2.702429988234373468e+02,4.099160357724894084e+02
4.100000000000000311e-01,4.093763932648429460e+01,4.092653325846116275e+01,4.093308583859481331e+01,3.137059449423853863e+01,9.562491344356274681e+00,6.800278119914031549e+02,2.703682675882965896e+02,4.096595444031065654e+02
4.199999999999999845e-01,4.093433242336947586e+01,4.092686549644613336e+01,4.093119631406167258e+01,3.137184868036370133e+01,9.559347633697971247e+00,6.799813286100284131e+02,2.704117779651431306e+02,4.095695506448852825e+02
4.299999999999999933e-01,4.093394070733561563e+01,4.092800656417932714e+01,4.093138902577841520e+01,3.137140283328481516e+01,9.559986192493600043e+00,6.799763331746630683e+02,2.704183829958445244e+02,4.095579501788185439e+02
4.400000000000000022e-01,4.093454539337308518e+01,4.092705726808380007e+01,4.093125061824579802e+01,3.137180381079195257e+01,9.559446807453845452e+00,6.799859708514044314e+02,2.704164009637213439e+02,4.095695698876830875e+02
4.500000000000000111e-01,4.093198474468881187e+01,4.093035702449307678e+01,4.093125227060072291e+01,3.137144939572776892e+01,9.559802874872953993e+00,6.799975984843828201e+02,2.704365995646444389e+02,4.095609989197383811e+02
4.600000000000000200e-01,4.093043852603304344e+01,4.093289589781731053e+01,4.093156891705380218e+01,3.137340725940386577e+01,9.558161657649936416e+00,6.799334904559415236e+02,2.704867137722977191e+02,4.094467766836438045e+02
4.700000000000000289e-01,4.093260486243210039e+01,4.092969318425808467e+01,4.093123637369031087e+01,3.137191252646589135e+01,9.559323847224419524e+00,6.799929162763938848e+02,2.704399856248276706e+02,4.095529306515662142e+02
4.799999999999999822e-01,4.092883768168332637e+01,4.093142628388415716e+01,4.093008021073971747e+01,3.137236138319659062e+01,9.557718827543126849e+00,6.799205425341725686e+02,2.704662395317043888e+02,4.094543030024681798e+02
4.899999999999999911e-01,4.092580788420600868e+01,4.093161758904139447e+01,4.092865463957534189e+01,3.137408539834833476e+01,9.554569241227007126e+00,6.798599342574556204e+02,2.705266877163917911e+02,4.093332465410638292e+02
5.000000000000000000e-01,4.093095763596048187e+01,4.093123051242453414e+01,4.093109407419250800e+01,3.137273234350939788e+01,9.558361730683110125e+00,6.799207574199873534e+02,2.704489924411789161e+02,4.094717649788084373e+02
5.100000000000000089e-01,4.093070669517965143e+01,4.093231673531514048e+01,4.093152781564875653e+01,3.137076585708028986e+01,9.560761958568466667e+00,6.799730207231118584e+02,2.704207217166642181e+02,4.095522990064476403e+02
5.200000000000000178e-01,4.092912336571733789e+01,4.093319868135495199e+01,4.093124252984889466e+01,3.137399820470333367e+01,9.557244325145560992e+00,6.799309273375142766e+02,2.705188398115374753e+02,4.094120875259768013e+02
5.300000000000000266e-01,4.093265280773153592e+01,4.093300031565159003e+01,4.093283698692916772e+01,3.137287086713178397e+01,9.559966119797383755e+00,6.799725289970405129e+02,2.704596065717361171e+02,4.095129224253043958e+02
5.400000000000000355e-01,4.093168462662070084e+01,4.093333720419173716e+01,4.093257701850905761e+01,3.137326876124426178e+01,9.559308257264795827e+00,6.799550238416886714e+02,2.704750540278223525e+02,4.094799698138663189e+02
5.500000000000000444e-01,4.093193975094381187e+01,4.093321821046199460e+01,4.093264290367881841e+01,3.137371165867206457e+01,9.558931245006753841e+00,6.799538113882015296e+02,2.704812101050960109e+02,4.094726012831055186e+02
5.600000000000000533e-01,4.092517156399215139e+01,4.093450125676495333e+01,4.093039619194492218e+01,3.137470388976812430e+01,9.555692302176797881e+00,6.799025601146084909e+02,2.705586762069034990e+02,4.093438839077049920e+02
5.700000000000000622e-01,4.092900343421439402e+01,4.093334393882607714e+01,4.093147752184304977e+01,3.137419694871132236e+01,9.557280573131727408e+00,6.798997273486529593e+02,2.705191967236585810e+02,4.093805306249943783e+02
5.799999999999999600e-01,4.190350351598138445e+01,4.022759662953598081e+01,4.093147752184304977e+01,3.137419694871132236e+01,9.557280573131727408e+00,6.798997273486529593e+02,2.705191967236585810e+02,4.093805306249943783e+02
5.899999999999999689e-01,4.092585458040336022e+01,4.093401663839703986e+01,4.093067019461962985e+01,3.137480429194910769e+01,9.555865902670522161e+00,6.799038938351975503e+02,2.705632051453453073e+02,4.093406886898522430e+02
5.999999999999999778e-01,4.092780568869173408e+01,4.093357546240959977e+01,4.093126755292245633e+01,3.137450593138748900e+01,9.556761621534967333e+00,6.799151852129654117e+02,2.705347033805437036e+02,4.093804818324217081e+02
6.099999999999999867e-01,4.092834057055726049e+01,4.093236358650229789e+01,4.093079461028374055e+01,3.137427869313559370e+01,9.556515917148146855e+00,6.799156016323387348e+02,2.705248387377642985e+02,4.093907628945744364e+02
6.199999999999999956e-01,4.093313862753274890e+01,4.093658648599354422e+01,4.093527629977843674e+01,3.137747235576595273e+01,9.557803944012484010e+00,6.799593303390950041e+02,2.705328325577655733e+02,4.094264977813294308e+02
6.300000000000000044e-01,4.093355344097354021e+01,4.093033029629357600e+01,4.093152285982516503e+01,3.137871580154336115e+01,9.552807058281803876e+00,6.798693755094367361e+02,2.706306557684203540e+02,4.092387197410163822e+02
6.400000000000000133e-01,4.092912568506530135e+01,4.093630634406696345e+01,4.093372130682637078e+01,3.137461421424658425e+01,9.559107092579786524e+00,6.799390414761236343e+02,2.705052148748833361e+02,4.094338266012402983e+02
6.500000000000000222e-01,4.093200985767999356e+01,4.093445723449590190e+01,4.093360065261033753e+01,3.136863702612908966e+01,9.564963626481247871e+00,6.800500224707785719e+02,2.703595479427660280e+02,4.096904745280125439e+02
6.600000000000000311e-01,4.092880484508157934e+01,4.093282112585403354e+01,4.093145559039140124e+01,3.137033601442559672e+01,9.561119575965804529e+00,6.799663450028893976e+02,2.704084563645390631e+02,4.095578886383503345e+02
6.700000000000000400e-01,4.092531540961732617e+01,4.093474417309533919e+01,4.093163268114759035e+01,3.137406730368452656e+01,9.557565377463063783e+00,6.799344909303074473e+02,2.705331394848373066e+02,4.094013514454701408e+02
6.800000000000000488e-01,4.091881558275599673e+01,4.093976658880136910e+01,4.093306226686685534e+01,3.137330842154642596e+01,9.559753845320429377e+00,6.799712027228648594e+02,2.704902701060573236e+02,4.094809326168075359e+02
6.900000000000000577e-01,4.092651291107194567e+01,4.093122627772638822e+01,4.092976513406350136e+01,3.137321264373290575e+01,9.556552490330595617e+00,6.798800449479042527e+02,2.704915020615488288e+02,4.093885428863554239e+02
7.000000000000000666e-01,4.093219055427903186e+01,4.093388687055245612e+01,4.093337797567042458e+01,3.136897034256278971e+01,9.564407633107634865e+00,6.800379044061146487e+02,2.703663328115816284e+02,4.096715715945330203e+02
7.099999999999999645e-01,4.093043750839469652e+01,4.093445231652758309e+01,4.093328802216904450e+01,3.136872524640919124e+01,9.564562775759853253e+00,6.800357540533154861e+02,2.703800067132918343e+02,4.096557473400236518e+02
7.199999999999999734e-01,4.092896827710086427e+01,4.093068451853001477e+01,4.093020397092985263e+01,3.137540132104436807e+01,9.554802649885484556e+00,6.798665773575653475e+02,2.705682829254651551e+02,4.092982944321001924e+02
7.299999999999999822e-01,4.092781184042667775e+01,4.093103915385599123e+01,4.093016777923007510e+01,3.137327896208572042e+01,9.556888817144354675e+00,6.798898153094371537e+02,2.704737254112012010e+02,4.094160898982359527e+02
7.399999999999999911e-01,4.092746760848302046e+01,4.093343101302009757e+01,4.093188052784045539e+01,3.137536563068810835e+01,9.556514897152347032e+00,6.798877444372412810e+02,2.705496497622820016e+02,4.093380946749592795e+02
7.500000000000000000e-01,4.092682006637086545e+01,4.093124349830596742e+01,4.093013764032219370e+01,3.137441009744612685e+01,9.555727542876066849e+00,6.798914458090799826e+02,2.705399826267825460e+02,4.093514631822974366e+02
7.600000000000000089e-01,4.089657196234802683e+01,4.093346849298338697e+01,4.092461332563090082e+01,3.137877074325100324e+01,9.545842582379897578e+00,6.797310788851457346e+02,2.708111663437251764e+02,4.089199125414205582e+02
7.700000000000000178e-01,4.093076062223117617e+01,4.093309338751262061e+01,4.093255685149789258e+01,3.137480066135156775e+01,9.557756190146324826e+00,6.799177591055199628e+02,2.705303688026651798e+02,4.093873903028547829e+02
7.800000000000000266e-01,4.091599123160903417e+01,4.093972144601936236e+01,4.093450079884908632e+01,3.137443677173365941e+01,9.560064027115426910e+00,6.799209284936559925e+02,2.704976788584980909e+02,4.094232496351579016e+02
7.900000000000000355e-01,4.092071044914902700e+01,4.093503860460768351e+01,4.093202969196136110e+01,3.137518940913883014e+01,9.556840282822530952e+00,6.799070475248437333e+02,2.705519011325361021e+02,4.093551463923076312e+02
8.000000000000000444e-01,4.092853045811282442e+01,4.093590337933216006e+01,4.093442879508829435e+01,3.137382873224817459e+01,9.560600062840119762e+00,6.799838818240181126e+02,2.704666600377839245e+02,4.095172217862341881e+02
8.100000000000000533e-01,4.091805419537111277e+01,4.093621236780263928e+01,4.093276231504064810e+01,3.137567941934224436e+01,9.557082895698403746e+00,6.798772140405749269e+02,2.705994530729864209e+02,4.092777609675885060e+02
8.200000000000000622e-01,4.092156267368343947e+01,4.093198816145253716e+01,4.093011157365409503e+01,3.137723280275856297e+01,9.552878770895532057e+00,6.798397615783877654e+02,2.706433750250401999e+02,4.091963865533475655e+02
8.300000000000000711e-01,4.092381895964876293e+01,4.093177232838332458e+01,4.093042025569844355e+01,3.137860552704166750e+01,9.551814728656776055e+00,6.798062961819333623e+02,2.706921203157111222e+02,4.091141758662222401e+02
8.399999999999999689e-01,4.091998869133539785e+01,4.093513651592137848e+01,4.093271286398762498e+01,3.137686954806149231e+01,9.555843315926132675e+00,6.798422556517094790e+02,2.705978519562456199e+02,4.092444036954638591e+02
8.499999999999999778e-01,4.092239635535251097e+01,4.093303427724214316e+01,4.093143858895869158e+01,3.137553031198384446e+01,9.555908276974847126e+00,6.798575959786420526e+02,2.705891721214889003e+02,4.092684238571531523e+02
8.599999999999999867e-01,4.091040300589762779e+01,4.093520355109080811e+01,4.093173147476376528e+01,3.137905976527632390e+01,9.552671709487441376e+00,6.797364969028277528e+02,2.707023244289713375e+02,4.090341724738564153e+02
8.699999999999999956e-01,4.093349508405812287e+01,4.093400472466888829e+01,4.093393847138949582e+01,3.137657930791873540e+01,9.557359163470760421e+00,6.798680910243979270e+02,2.706010081071863169e+02,4.092670829172116100e+02
8.800000000000000044e-01,4.091802094080114216e+01,4.093259206345020829e+01,4.093084352873231069e+01,3.137740234189735489e+01,9.553441186834955801e+00,6.797742925855255862e+02,2.706448351547955440e+02,4.091294574307300422e+02
8.900000000000000133e-01,4.091493531559874697e+01,4.093589027649598222e+01,4.093358523079727718e+01,3.137967265308636655e+01,9.553912577710910625e+00,6.797733047470669590e+02,2.707328101318540234e+02,4.090404946152129355e+02
9.000000000000000222e-01,4.091468187042822535e+01,4.093121946986427417e+01,4.092956570992067356e+01,3.137909302067006934e+01,9.550472689250604219e+00,6.797613374106061883e+02,2.707438736507218096e+02,4.090174637598843788e+02
9.100000000000000311e-01,4.091627739909706918e+01,4.093954545437513559e+01,4.093745132940011189e+01,3.137460727141280969e+01,9.562844057987302193e+00,6.799787104476126842e+02,2.704798605986874804e+02,4.094988498489252038e+02
9.200000000000000400e-01,4.090664068123844288e+01,4.093171518253745944e+01,4.092970922243353726e+01,3.138009271376777320e+01,9.549616508665764059e+00,6.797339655219108181e+02,2.707761262630717738e+02,4.089578392588390443e+02
9.300000000000000488e-01,4.093483374138382658e+01,4.093501722579154745e+01,4.093500438188299739e+01,3.137742336114939334e+01,9.557581020733604049e+00,6.798740010094492163e+02,2.705678467237735276e+02,4.093061542856756887e+02
9.400000000000000577e-01,4.092116733333143230e+01,4.093508056456155231e+01,4.093424577068773829e+01,3.138295732858033205e+01,9.551288442107406240e+00,6.797315350366283155e+02,2.708001701775365291e+02,4.089313648590917865e+02
9.500000000000000666e-01,4.091050155398835386e+01,4.093205486142739602e+01,4.093097719605543716e+01,3.137951172963278523e+01,9.551465466422651929e+00,6.797655031225422135e+02,2.706939229967566689e+02,4.090715801257855446e+02
9.599999999999999645e-01,4.091698888466511619e+01,4.093353041494764710e+01,4.093286875373635070e+01,3.137836180722642609e+01,9.554506946509924603e+00,6.798318934418423396e+02,2.706753146499676177e+02,4.091565787918747219e+02
9.699999999999999734e-01,4.090869073569207615e+01,4.093824694127644648e+01,4.093736025510891352e+01,3.137484922916410568e+01,9.562511025944807841e+00,6.799558511863045851e+02,2.705445923832319295e+02,4.094112588030726556e+02
9.799999999999999822e-01,4.093676810993737547e+01,4.093788344645956556e+01,4.093786113972912233e+01,3.137738725918871907e+01,9.560473880540403258e+00,6.798855373392171941e+02,2.705564023896365029e+02,4.093291349495806912e+02
9.899999999999999911e-01,4.092403680077369188e+01,4.093684177578669647e+01,4.093671372603656522e+01,3.138431477248958501e+01,9.552398953546980209e+00,6.797367848381551312e+02,2.708055643239786150e+02,4.089312205141765162e+02
1.000000000000000000e+00,4.089630616562691756e+01,4.094543496394619808e+01,4.094543496394619808e+01,3.137407668354227042e+01,9.571358280403927665e+00,6.800277144264238132e+02,2.704318305509602851e+02,4.095958838754635281e+02
